Covidence #,Study ID,Title,SQ1,SQ2,SQ3,SQ4,Domain 1: Patient Selection/Study Design,SQ5,SQ6,Domain 2: Index Measure,SQ7,SQ8,Domain 3: Criterion Measure,SQ9,SQ10,SQ11,Domain 4: Flow and Timing
46,Hildebrand 2017,Evaluation of raw acceleration sedentary thresholds in children and adults.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,Yes,Low risk of bias
51,Lamprecht 2015,Multisite accelerometry for sleep and wake classification in children.,No,NA,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
52,Ahmadi 2020,Free-living Evaluation of Laboratory-based Activity Classifiers in Preschoolers.,Yes,Yes,No,Yes,High risk of bias,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
54,Marcotte 2020,Estimating Sedentary Time from a Hip- and Wrist-Worn Accelerometer.,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
92,Sundararajan 2021,Sleep classification from wrist-worn accelerometer data using random forests.,Yes,NA,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
105,Duncan 2020,Using accelerometry to classify physical activity intensity in older adults: What is the optimal wear-site?,Yes,No,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,No,High risk of bias
124,Ryser 2023,A novel method to increase specificity of sleep-wake classifiers based on wrist-worn actigraphy.,Yes,NA,No,No,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
153,Mielke 2023,Absolute intensity thresholds for tri-axial wrist and waist accelerometer-measured movement behaviors in adults.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,No,High risk of bias
176,Montoye 2018,Cross-validation and out-of-sample testing of physical activity intensity predictions with a wrist-worn accelerometer.,Yes,Yes,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,Yes,Low risk of bias
185,Altini 2015,"Estimating energy expenditure using body-worn accelerometers: a comparison of methods, sensors number and positioning.",Yes,No,No,No,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
