id,study,year,country,age_group,sample_size,females,health,ethnicity_reported,unique_model,device,device_brand,sensor,sensor_type,dynami_range,bit_resolution,acquisition_sampling_rate,sampling_rate_cat,resampled,resampled_sampling_rate,raw_signal_check,digital_filter,digital_filter_type,highpass_cutoff,lowpass_cutoff,gravity_removal,feature_types,window_size,method_best,sub_method_best,outcomes
153,Mielke 2023,2023,Australia; Brazil; Norway; United Kingdom,Adults,86,42,Apparently healthy,n.r.,1,wGT3X-BT (ActiGraph); GENEActiv (ActivInsights),ActiGraph; ActivInsights,n.r.,Triaxial ,n.r.,n.r.,60 Hz,51-80 Hz,0,60 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,5 sec,Threshold / Cutpoint,Threshold,Activity intensity
1041,Hibbing 2018,2018,United States of America,Adults,30,10,Apparently healthy,n.r.,1,GT9X Link (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g; ±8g,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,"1 sec, 10 sec",Threshold / Cutpoint,Threshold,Activity intensity
2956,Hernando 2018,2018,Spain,Adults,98,15,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,85.7 Hz,81-100 Hz,0,85.7 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,1 min,Threshold / Cutpoint,Threshold,Activity intensity
3932,Dibben 2020,2020,United Kingdom,Adults,22,5,Clinical,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,5 sec,Threshold / Cutpoint,Threshold,Activity intensity
9034,Kuster 2020,2020,Switzerland; Sweden,Adults,30,n.r.,Apparently healthy,n.r.,1,MVN BIOMECH Awinda (Xsens),Xsens,n.r.,Triaxial ,±16g,n.r.,60 Hz,51-80 Hz,0,60 Hz,None,"Butterworth lowpass (0.5 hz) [second order] used to isolate static component for feature extraction, also extracted from unfiltered signal",Low-pass,n.a.,0.5,None,"Time-domain; Frequency-domain; Nonlinear, Spatial",1 min,Classical ML,RandomForest,Activity intensity
25641,Shwetar 2022,2022,United States of America,Adults,60,11,Wheelchair users,n.r.,1,GT9X Link (ActiGraph); GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,30 Hz,21-50 Hz,0,30 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain; Frequency-domain,60 sec,Classical ML,RandomForest,Activity intensity
35066,Welch 2013,2013,United States of America,Adults,130,67,Apparently healthy,1,0,GENEA (Unilever & ActivInsights),Unilever & ActivInsights,n.r.,Triaxial ,±6g,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,,,,Time-domain,60 sec,Threshold / Cutpoint,Threshold,Activity intensity
35670,Esliger 2011,2011,Canada; United Kingdom,Adults,60,37,Apparently healthy,n.r.,1,GENEA (Unilever & ActivInsights),Unilever & ActivInsights,LIS3LV02DL (STMicroelectronics),Triaxial ,±6g,12 bit,80 Hz,51-80 Hz,0,80 Hz,"Intra- and inter-instrument reliability, and criterion validity of acceleration signal assessed using a Multi-Axis Shaking Table",None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,1 min,Threshold / Cutpoint,Threshold,Activity intensity
198,Staudenmayer 2015,2015,United States of America,Adults,20,10,Apparently healthy,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,12 bit,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,15 sec,Classical ML,RandomForest,Activity intensity; Energy expenditure
2326,Fridolfsson 2021,2021,Sweden,Adults,63,19,Apparently healthy,n.r.,1,AX3 (Axivity),Axivity,n.r.,Triaxial ,±16g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,Bandpass (0.69 - 10 Hz) [n.r.],Band-pass,0.69,10,FIlter,Time-domain,1 min,Threshold / Cutpoint,Threshold,Activity intensity; Energy expenditure
