id,study,year,country,age_group,sample_size,females,health,ethnicity_reported,unique_model,device,device_brand,sensor,sensor_type,dynami_range,bit_resolution,acquisition_sampling_rate,sampling_rate_cat,resampled,resampled_sampling_rate,raw_signal_check,digital_filter,digital_filter_type,highpass_cutoff,lowpass_cutoff,gravity_removal,feature_types,features,features_extracted_from,window_size,feature_types_model,feature_selection,method_best,sub_method_best,outcomes
1795,Ahmadi 2018,2018,Australia,Children and Youth; Adults,22,11,Clinical,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,30 Hz,21-50 Hz,0,30 Hz,Visual inspection,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,"Sum of motion counts, CV of sum of motion counts (%)",Signal vector magnitude,10 sec,Time-domain; Frequency-domain,Random Forest automatic feature selection,Classical ML,RandomForest,Activity type
2995,Ahmadi 2020,2020,Australia,Children and Youth,38,25,Clinical,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,30 Hz,21-50 Hz,0,30 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,"Mean acceleration (xyz), Upper limb strength","Individual axes (x,y,z); Signal vector magnitude",10 sec,Time-domain; Frequency-domain,Minimum Redundancy Maximum Relevance,Classical ML,RandomForest,Activity type
4490,Ahmadi 2020,2020,Australia,Children and Youth,31,9,n.r.,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain; Spatial,"75th percentile (x angle), lag-1 sec autocorrelation (z filtered), median frequency 0.3-3 Hz (raw z), range (x filtered), mean frequency power (VM filtered), absolute signal change (VM filtered), 95th percentile (raw VM), 90th percentile (VM filtered), 3rd moment (y angle), mean frequency 0.3-3 Hz (Z filtered)","Individual axes (x,y,z)",15 sec,Time-domain; Frequency-domain,Minimum Redundancy Maximum Relevance ,Classical ML,RandomForest,Activity type
1844,Ahmadi 2020,2020,Australia,Children and Youth,10,n.r.,Apparently healthy,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,ENMO (mg),Signal vector magnitude,10 sec,Time-domain; Frequency-domain,None,Classical ML,RandomForest,Energy expenditure
52,Ahmadi 2020,2020,Australia,Children and Youth,31,9,n.r.,n.r.,0,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,SVM (g.min),"Individual axes (x,y,z); Signal vector magnitude",15 sec,Time-domain; Frequency-domain; Spatial,Random Forest automatic feature selection,Classical ML,RandomForest,Activity type
962,Ahmadi 2022,2022,Australia,Children and Youth,31,9,n.r.,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None; Subtracting 1g from VM,Time-domain; Frequency-domain,Activity counts from seven epochs,"Individual axes (x,y,z); Signal vector magnitude",15 sec,Time-domain; Frequency-domain,Random forest automatic feature selection; n.a.,Classical ML,RandomForest,Activity type
14135,Altini 2013,2013,Netherlands,Adults,16,4,Apparently healthy,n.r.,1,Imec Wristband,Imec,n.r.,Triaxial ,n.r.,n.r.,32 Hz,21-50 Hz,0,32 Hz,None,"Bandpass (0.1 - 10 Hz) [n.r.], Low-pass (1 Hz) [n.r.]",Band-pass,0.1,10,FIlter,Time-domain; Frequency-domain,"Mean, standard deviation, minimum, maximum, interquartile range, percentiles (10th, 25th, 50th, 75th, 95th), coefficient of variation, signal sum, power, peak-to-peak amplitude, median crossings, dominant frequency (0.25€“5 Hz), magnitude of dominant frequency (0.25€“5 Hz)",n.r.,15 sec,Time-domain; Frequency-domain,Mutual information for activity type recognition; linear forward selection for EE estimation,Classical ML,SVM,Activity type; Energy expenditure
3488,Altini 2014,2014,Netherlands,Adults,18,4,Apparently healthy,n.r.,1,Imec Wristband,Imec,n.r.,Triaxial ,n.r.,n.r.,32 Hz,21-50 Hz,0,32 Hz,None,"Bandpass (0.1 - 10 Hz) [n.r.], Low-pass (1 Hz) [n.r.]",Band-pass,0.1,10,FIlter,Time-domain; Frequency-domain,"All features; Subset: Shannon's entropy, main frequency of the FFT, energy of the 0.2 Hz window centred around the main frequency over total FFT energy, mean of cross covariance between each 2 axes",n.r.,4 sec,Time-domain; Frequency-domain,Mutual information for activity type recognition; linear forward selection for EE estimation,Classical ML,SVM,Activity type; Energy expenditure
185,Altini 2015,2015,Netherlands,Adults,15,4,n.r.,n.r.,1,Imec Necklace,Imec,ADXL330 (Analog Devices),Triaxial ,n.r.,n.r.,64 Hz,51-80 Hz,0,64 Hz,None,"Bandpass (0.1 - 10 Hz) [n.r.], Low-pass (1 Hz) [n.r.]",Band-pass,0.1,10,FIlter,Time-domain; Frequency-domain,"Mean, standard deviation, coefficient of variation, minimum, maximum, quantiles (25th, 75th), moments (third, fourth), skewness, kurtosis, mean angle between x-axis and VM, standard deviation of angles in the window, percentage of power of VM (0.6-2.5 Hz), dominant frequency of VM, fraction of power in VM at dominant frequency",n.r.,4 sec,Time-domain; Frequency-domain,Correlation for activity type recognition; forward selection based on variance explained within a cluster for EE estimation,Classical ML,SVM,Activity type; Energy expenditure
31390,Atallah 2011,2011,United Kingdom,Adults,11,2,Apparently healthy,n.r.,1,Custom,Custom,ADXL330 (Analog Devices),Triaxial ,±3g,n.r.,50 Hz,21-50 Hz,0,50 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,Raw band-pass filtered z-axis time series; FFT coefficients,"Individual axes (x,y,z)",5 sec,Time-domain; Frequency-domain,"Relief algorithm, Simba algorithm, Minimum Redundancy Maximum Relevance",Classical ML,NaiveBayes,Activity type
