domain,method_group,metric,all_ge_0999,all_le_0001,k
Activity intensity,non-traditional,F1,FALSE,FALSE,6
Activity intensity,non-traditional,Sensitivity,FALSE,FALSE,9
Activity intensity,non-traditional,Specificity,FALSE,FALSE,9
Activity intensity,traditional,F1,FALSE,FALSE,7
Activity intensity,traditional,Sensitivity,FALSE,FALSE,41
Activity intensity,traditional,Specificity,FALSE,FALSE,41
Activity type,non-traditional,F1,FALSE,FALSE,16
Activity type,non-traditional,Sensitivity,FALSE,FALSE,20
Activity type,non-traditional,Specificity,FALSE,FALSE,17
Activity type,traditional,F1,FALSE,FALSE,5
Activity type,traditional,Sensitivity,FALSE,FALSE,22
Activity type,traditional,Specificity,FALSE,FALSE,22
Sleep,non-traditional,F1,FALSE,FALSE,15
Sleep,non-traditional,Sensitivity,FALSE,FALSE,16
Sleep,non-traditional,Specificity,FALSE,FALSE,15
Sleep,traditional,F1,FALSE,FALSE,16
Sleep,traditional,Sensitivity,FALSE,FALSE,26
Sleep,traditional,Specificity,FALSE,FALSE,25
