val_id,id,study_id,is_the_model_published_previously,method,method_sub,domain,sd_origin,metric_origin,n_classes,k_folds,n_participants,test_environment,test_protocol,validation_type,age_group,test_device,metric,mean,sd,yi,vi_fold,vi_class,vi_ext,vi_use,vi_source,method_group,miss_n_classes,miss_k_folds,n_classes_imp,k_folds_imp,c_n_classes,c_k_folds,env_re,prot_re,dom_re,se_use,est,ci_l,ci_u,auth_year,method_lab,row_lab
1,1795,Ahmadi 2018,No,Classical ML,RandomForest,Activity type,classes,macro,4,22,22,Laboratory,Structured,Cross-validation,Children and Youth; Adults,GT3X+ (ActiGraph),F1,0.8004,0.1563,1.388796239,NA,0.239288998,NA,0.239288998,classes,Other,0,0,4,22,1.280487805,-1.459677419,Laboratory,Structured,Activity type,0.489171747,0.8004,0.605878352,0.912741112,Row 1795,Classical ML,Row 1795 â€“ Classical ML â€“ (ID 1)
1,1795,Ahmadi 2018,No,Classical ML,RandomForest,Activity type,classes,macro,4,22,22,Laboratory,Structured,Cross-validation,Children and Youth; Adults,GT3X+ (ActiGraph),Sensitivity,0.8025,0.1349,1.401993271,NA,0.18110883,NA,0.18110883,classes,Other,0,0,4,22,1.280487805,-1.459677419,Laboratory,Structured,Activity type,0.425568832,0.8025,0.638273474,0.903445501,Row 1795,Classical ML,Row 1795 â€“ Classical ML â€“ (ID 1)
1,1795,Ahmadi 2018,No,Classical ML,RandomForest,Activity type,classes,macro,4,22,22,Laboratory,Structured,Cross-validation,Children and Youth; Adults,GT3X+ (ActiGraph),Specificity,0.9427,0.0445,2.800447475,NA,0.169669497,NA,0.169669497,classes,Other,0,0,4,22,1.280487805,-1.459677419,Laboratory,Structured,Activity type,0.411909574,0.9427,0.880071214,0.97360395,Row 1795,Classical ML,Row 1795 â€“ Classical ML â€“ (ID 1)
2,4490,Ahmadi 2020,No,Classical ML,RandomForest,Activity type,NA,macro,5,31,31,Free-living,Hybrid,Cross-validation,Children and Youth,GT3X+ (ActiGraph),F1,0.806,NA,1.424225583,NA,NA,NA,0.151766045,constant,Other,0,0,5,31,2.280487805,7.540322581,Free-living,Hybrid,Activity type,0.389571617,0.806,0.659409804,0.899147311,Row 4490,Classical ML,Row 4490 â€“ Classical ML â€“ (ID 2)
6,962,Ahmadi 2022,No,Classical ML,RandomForest,Activity type,classes,macro,3,NA,10,Free-living,Hybrid,Hold-out,Children and Youth,GT3X+ (ActiGraph),F1,0.8006,0.0802,1.390048589,NA,0.084129053,NA,0.084129053,classes,Other,0,1,3,23.45967742,0.280487805,0,Free-living,Hybrid,Activity type,0.290050088,0.8006,0.694565351,0.876375593,Row 962,Classical ML,Row 962 â€“ Classical ML â€“ (ID 6)
6,962,Ahmadi 2022,No,Classical ML,RandomForest,Activity type,classes,macro,3,NA,10,Free-living,Hybrid,Hold-out,Children and Youth,GT3X+ (ActiGraph),Sensitivity,0.8198,0.0614,1.514993063,NA,0.057582443,NA,0.057582443,classes,Other,0,1,3,23.45967742,0.280487805,0,Free-living,Hybrid,Activity type,0.23996342,0.8198,0.739749071,0.879247281,Row 962,Classical ML,Row 962 â€“ Classical ML â€“ (ID 6)
6,962,Ahmadi 2022,No,Classical ML,RandomForest,Activity type,classes,macro,3,NA,10,Free-living,Hybrid,Hold-out,Children and Youth,GT3X+ (ActiGraph),Specificity,0.8997,0.061,2.193895679,NA,0.152314451,NA,0.152314451,classes,Other,0,1,3,23.45967742,0.280487805,0,Free-living,Hybrid,Activity type,0.39027484,0.8997,0.806738751,0.950679368,Row 962,Classical ML,Row 962 â€“ Classical ML â€“ (ID 6)
7,962,Ahmadi 2022,Yes - Roscoe 2017,Threshold / Cutpoint,Threshold,Activity type,classes,macro,3,NA,10,Free-living,Hybrid,External,Children and Youth,GT3X+ (ActiGraph),F1,0.4866,0.1666,-0.053612838,NA,0.148242524,NA,0.148242524,classes,Threshold,0,1,3,23.45967742,0.280487805,0,Free-living,Hybrid,Activity type,0.385022758,0.4866,0.308261948,0.668416489,Row 962,Threshold / Cutpoint,Row 962 â€“ Threshold / Cutpoint â€“ (ID 7)
7,962,Ahmadi 2022,Yes - Roscoe 2017,Threshold / Cutpoint,Threshold,Activity type,classes,macro,3,NA,10,Free-living,Hybrid,External,Children and Youth,GT3X+ (ActiGraph),Sensitivity,0.5457,0.1807,0.183311601,NA,0.177093112,NA,0.177093112,classes,Threshold,0,1,3,23.45967742,0.280487805,0,Free-living,Hybrid,Activity type,0.420824324,0.5457,0.344906621,0.732653494,Row 962,Threshold / Cutpoint,Row 962 â€“ Threshold / Cutpoint â€“ (ID 7)
7,962,Ahmadi 2022,Yes - Roscoe 2017,Threshold / Cutpoint,Threshold,Activity type,classes,macro,3,NA,10,Free-living,Hybrid,External,Children and Youth,GT3X+ (ActiGraph),Specificity,0.7915,0.2745,1.333990838,NA,0.922251745,NA,0.922251745,classes,Threshold,0,1,3,23.45967742,0.280487805,0,Free-living,Hybrid,Activity type,0.960339391,0.7915,0.366264861,0.961441459,Row 962,Threshold / Cutpoint,Row 962 â€“ Threshold / Cutpoint â€“ (ID 7)
8,962,Ahmadi 2022,Yes - Crotti 2020,Threshold / Cutpoint,Threshold,Activity type,classes,macro,3,NA,10,Free-living,Hybrid,External,Children and Youth,GT3X+ (ActiGraph),F1,0.6006,0.0765,0.407965735,NA,0.033901182,NA,0.033901182,classes,Threshold,0,1,3,23.45967742,0.280487805,0,Free-living,Hybrid,Activity type,0.184122736,0.6006,0.511769119,0.683271272,Row 962,Threshold / Cutpoint,Row 962 â€“ Threshold / Cutpoint â€“ (ID 8)
