val_id,id,study_id,is_the_model_published_previously,method,method_sub,domain,sd_origin,metric_origin,n_classes,k_folds,n_participants,test_environment,test_protocol,validation_type,age_group,test_device,metric,mean,sd,yi,vi_fold,vi_class,vi_ext,vi_use,vi_source,method_group,miss_n_classes,miss_k_folds,n_classes_imp,k_folds_imp,c_n_classes,c_k_folds,env_re,prot_re,dom_re,se_use,est,ci_l,ci_u,auth_year,method_lab,row_lab
188,5455,Trost 2022,"Yes - Hildebrand 2014, 2017",Threshold / Cutpoint,Threshold,Activity intensity,classes,macro,4,NA,18,Laboratory,Structured,External,Children and Youth,ActiGraph,F1,0.4578,0.1945,-0.16920253,NA,0.153500084,NA,0.153500084,classes,Threshold,0,1,4,22.65217391,1.371921182,0,Laboratory,Structured,Activity intensity,0.391790867,0.4578,0.281483947,0.645360563,Row 5455,Threshold / Cutpoint,Trost 2022 – Threshold / Cutpoint – 188
83,2608,Hibbing 2018,No,Hybrid / Ensemble,ANN + DT,Activity type,classes,macro,3,NA,27,Free-living,Unstructured,External,Children and Youth,ActiGraph,F1,0.4816,0.235,-0.073633251,NA,0.295332694,NA,0.295332694,classes,Other,0,1,3,22.65217391,0.371921182,0,Free-living,Unstructured,Activity type,0.543445208,0.4816,0.242543348,0.729387919,Row 2608,Hybrid / Ensemble,Hibbing 2018 – Hybrid / Ensemble – 83
7,962,Ahmadi 2022,Yes - Roscoe 2017,Threshold / Cutpoint,Threshold,Activity type,classes,macro,3,NA,10,Free-living,Hybrid,External,Children and Youth,ActiGraph,F1,0.4866,0.1666,-0.053612838,NA,0.148242524,NA,0.148242524,classes,Threshold,0,1,3,22.65217391,0.371921182,0,Free-living,Hybrid,Activity type,0.385022758,0.4866,0.308261948,0.668416489,Row 962,Threshold / Cutpoint,Ahmadi 2022 – Threshold / Cutpoint – 7
203,25531,Wullems 2024,"Yes - Rowlands 2014, 2016 for posture and Esliger 2011 for intensity thresholds",Classical ML,Decision tree,Activity intensity,classes,macro,4,NA,20,Laboratory,Structured,External,Older adults,ActivInsights,F1,0.4895,0.1752,-0.042006176,NA,0.122888524,NA,0.122888524,classes,Other,0,1,4,22.65217391,1.371921182,0,Laboratory,Structured,Activity intensity,0.350554595,0.4895,0.325393754,0.655901084,Row 25531,Classical ML,Wullems 2024 – Classical ML – 203
288,35984,Skjødt 2025,No,Threshold / Cutpoint,Threshold,Activity intensity,classes,macro,3,NA,26,Laboratory,Hybrid,Hold-out,Older adults,ActivInsights,F1,0.49,0.29,-0.040005335,NA,0.448892375,NA,0.448892375,classes,Threshold,0,1,3,22.65217391,0.371921182,0,Laboratory,Hybrid,Activity intensity,0.66999431,0.49,0.205348653,0.781287226,Row 35984,Threshold / Cutpoint,Skjødt 2025 – Threshold / Cutpoint – 288
303,36448,Sirard 2025,Yes - Hildebrand 2014 (Youth cutpoints),Threshold / Cutpoint,Threshold,Activity type,NA,macro,5,NA,42,Free-living,Unstructured,External,Children and Youth,ActiGraph,F1,0.51,NA,0.040005335,NA,NA,NA,0.148242524,constant,Threshold,0,1,5,22.65217391,2.371921182,0,Free-living,Unstructured,Activity type,0.385022758,0.51,0.328574542,0.68882889,Row 36448,Threshold / Cutpoint,Sirard 2025 – Threshold / Cutpoint – 303
161,5580,Sasaki 2016,No,Classical ML,RandomForest,Activity type,classes,macro,5,15,15,Free-living,Unstructured,Cross-validation,Older adults,ActiGraph,F1,0.5294,0.2815,0.117735813,NA,0.255337778,NA,0.255337778,classes,Other,0,0,5,15,2.371921182,-7.652173913,Free-living,Unstructured,Activity type,0.505309586,0.5294,0.294698832,0.751782673,Row 5580,Classical ML,Sasaki 2016 – Classical ML – 161
202,35066,Welch 2013,Yes - Esliger 2011,Threshold / Cutpoint,Threshold,Activity intensity,classes,macro,4,NA,130,Laboratory,Structured,External,Adults,Unilever & ActivInsights,F1,0.5384,0.101,0.153903063,NA,0.041289636,NA,0.041289636,classes,Threshold,0,1,4,22.65217391,1.371921182,0,Laboratory,Structured,Activity intensity,0.203198514,0.5384,0.439210695,0.634639399,Row 35066,Threshold / Cutpoint,Welch 2013 – Threshold / Cutpoint – 202
304,36448,Sirard 2025,Yes - Hildebrand 2014 (Adults cutpoints),Threshold / Cutpoint,Threshold,Activity type,NA,macro,5,NA,42,Free-living,Unstructured,External,Children and Youth,ActiGraph,F1,0.54,NA,0.16034265,NA,NA,NA,0.148242524,constant,Threshold,0,1,5,22.65217391,2.371921182,0,Free-living,Unstructured,Activity type,0.385022758,0.54,0.355648396,0.714019625,Row 36448,Threshold / Cutpoint,Sirard 2025 – Threshold / Cutpoint – 304
137,257,Montoye 2020,"Yes - Hildebrand 2014, 2017",Threshold / Cutpoint,Threshold,Activity type,classes,macro,4,NA,12,Free-living,Unstructured,External,Adults; Older adults,ActiGraph,F1,0.5533,0.2802,0.214013122,NA,0.3213091,NA,0.3213091,classes,Threshold,0,1,4,22.65217391,1.371921182,0,Free-living,Unstructured,Activity type,0.566841336,0.5533,0.289668233,0.790016046,Row 257,Threshold / Cutpoint,Montoye 2020 – Threshold / Cutpoint – 137
